Clients,Farms,Fields,Machine Name,Equipment,Operators,Varieties,Work,Crop Type,Area Harvested,Unit,Moisture,Unit,Dry Yield,Unit,Total Dry Yield,Unit,Wet Weight,Unit,Total Wet Weight,Unit,Speed,Unit,Harvest Time,Unit,Productivity,Unit,Total Fuel,Unit,Fuel Rate (Area),Unit,Fuel Rate (Time),Unit,Throughput (Wet),Unit,Throughput (Wet),Unit,Fuel Efficiency,Unit,Crude Protein,Unit,Metabolizable Energy,Unit,Dry Matter,Unit,Neutral Detergent Fiber,Unit,Acid Detergent Fiber,Unit,Length Of Cut,Unit,Inoculant Dosing High Rate,Unit,Inoculant Dosing High Total,Unit,Sugar,Unit,Crude Ash,Unit,Crude Fiber,Unit,Crude Fat,Unit,First Harvested,Last Harvested
Mcdonald,kelloe mains,Dexters,8400i - SK16 GTY (R Wood),1Z08400YJGR515326,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 20, 2023",Grass Forage,12.67608988,ha,72.79212275,%,3.666714664,t/ha,46.47960465,t,13.47666571,t/ha,170.8314259,t,12.71291168,km/hr,3119.509,sec,14.62855968,ha/hr,84.26638616,l,6.647663985,l/ha,97.24574931,l/hr,---,---,197.1442086,t/hr,0.551563654,t/l,---,---,---,---,27.20787725,%,---,---,---,---,17.9832,mm,0,l/t,---,---,---,---,---,---,---,---,---,---,"Jul 20, 2023","Jul 20, 2023"
Mcdonald,kelloe mains,Dexters,8400i - SK16 GTY (R Wood),1Z08400YJGR515326,David,grass,"Forage Harvesting Grass Forage - Oct 3, 2023",Grass Forage,14.11816676,ha,67.64425415,%,4.14717475,t/ha,58.55050471,t,12.817429,t/ha,180.9586,t,8.344705511,km/hr,5428.952,sec,9.360741236,ha/hr,134.4780562,l,9.526375188,l/ha,89.17393305,l/hr,---,---,119.9901417,t/hr,0.435368972,t/l,---,---,---,---,32.35574585,%,---,---,---,---,16,mm,0,l/t,---,---,---,---,---,---,---,---,---,---,"Oct 03, 2023","Oct 04, 2023"
Mcdonald,kelloe mains,easter,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 16, 2023",Grass Forage,12.71804545,ha,70.97842894,%,6.322318678,t/ha,80.40753633,t,21.78489464,t/ha,277.0612802,t,9.40140144,km/hr,4260.904,sec,10.74497144,ha/hr,119.590269,l,9.403538964,l/ha,101.0407576,l/hr,---,---,234.0812094,t/hr,0.672299941,t/l,12.66452412,%,10.28133927,MJ/kg,29.02157106,%,48.41127066,%,26.28226566,%,21.9964,mm,0,l/t,---,---,10.74809624,%,9.123950635,%,26.34173019,%,2.917421029,%,"May 16, 2023","May 17, 2023"
Mcdonald,kelloe mains,easter,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 13, 2023",Grass Forage,12.80327596,ha,60.72585609,%,1.232781846,t/ha,15.78364617,t,3.138914623,t/ha,40.18839012,t,11.79675101,km/hr,3241.505,sec,14.21925724,ha/hr,54.67539787,l,4.270422512,l/ha,60.72223622,l/hr,---,---,44.63303448,t/hr,0.288678979,t/l,15.59697584,%,---,---,39.27414391,%,41.38088107,%,19.49533431,%,22.99470838,mm,0,l/t,---,---,16.20735091,%,8.269550846,%,18.34458761,%,---,---,"Jun 13, 2023","Jun 13, 2023"
Mcdonald,kelloe mains,easter,8400i - SK16 GTY (R Wood),1Z08400YJGR515326,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 20, 2023",Grass Forage,14.00772244,ha,73.11695933,%,5.164929654,t/ha,72.34890103,t,19.21259473,t/ha,269.1246943,t,13.07511259,km/hr,5944.251,sec,8.483457511,ha/hr,159.6053226,l,11.39409516,l/ha,96.66132221,l/hr,---,---,162.989231,t/hr,0.453152075,t/l,---,---,---,---,26.88304067,%,---,---,---,---,17.9832,mm,0,l/t,---,---,---,---,---,---,---,---,---,---,"Jul 20, 2023","Jul 20, 2023"
Mcdonald,kelloe mains,easter,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Sep 10, 2023",Grass Forage,12.87075954,ha,67.66580651,%,3.476806365,t/ha,44.7491387,t,10.75272332,t/ha,138.3957163,t,10.74684487,km/hr,4126.897,sec,11.22749958,ha/hr,119.4770701,l,9.282829793,l/ha,104.2229676,l/hr,116.0119246,t/hr,116.0119246,t/hr,0.356966922,t/l,15.23814266,%,10.28674652,MJ/kg,32.33419349,%,49.93812987,%,23.81478801,%,15.32814245,mm,0,l/t,0,l,9.127852933,%,9.29252772,%,23.76539157,%,3.147158614,%,"Sep 10, 2023","Sep 10, 2023"
Mcdonald,kelloe mains,gas house,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 17, 2023",Grass Forage,12.84939453,ha,69.08928362,%,6.200181462,t/ha,79.66857775,t,20.05835577,t/ha,257.7377268,t,9.797407933,km/hr,4552.304,sec,10.16108896,ha/hr,117.7923983,l,9.16744378,l/ha,93.15121174,l/hr,---,---,203.8166464,t/hr,0.676296297,t/l,11.92399806,%,10.3305096,MJ/kg,30.91071638,%,47.91753186,%,26.6755664,%,21.99546729,mm,0,l/t,---,---,12.21193882,%,8.937255078,%,26.51269103,%,2.856063865,%,"May 17, 2023","May 17, 2023"
Mcdonald,kelloe mains,gas house,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 14, 2023",Grass Forage,12.96102425,ha,51.21009995,%,0.93454338,t/ha,12.11263941,t,1.915444342,t/ha,24.82612056,t,12.91481055,km/hr,3041.116,sec,15.34294887,ha/hr,44.6145701,l,3.442210218,l/ha,52.81365537,l/hr,---,---,29.3885646,t/hr,0.271493018,t/l,19.54961543,%,---,---,48.78990005,%,38.30154837,%,18.72748712,%,24.9936,mm,0,l/t,---,---,11.75796186,%,11.26239425,%,16.23117144,%,---,---,"Jun 14, 2023","Jun 14, 2023"
Mcdonald,kelloe mains,gas house,8400i - SK16 GTY (R Wood),1Z08400YJGR515326,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 20, 2023",Grass Forage,13.03406981,ha,70.15024532,%,2.070903033,t/ha,26.99229469,t,6.93775562,t/ha,90.42719104,t,13.59951987,km/hr,3102.859,sec,15.10582715,ha/hr,77.31594917,l,5.938339745,l/ha,89.70353374,l/hr,---,---,104.9154627,t/hr,0.349116773,t/l,---,---,---,---,29.84975468,%,---,---,---,---,17.9832,mm,0,l/t,---,---,---,---,---,---,---,---,---,---,"Jul 20, 2023","Jul 20, 2023"
Mcdonald,kelloe mains,gas house,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Sep 10, 2023",Grass Forage,13.04411799,ha,67.32534054,%,3.767800646,t/ha,49.14763621,t,11.53126217,t/ha,150.4151444,t,11.16731664,km/hr,4040.698,sec,11.62146361,ha/hr,114.1201468,l,8.748782161,l/ha,101.6736536,l/hr,128.690598,t/hr,128.690598,t/hr,0.410712943,t/l,15.10830055,%,10.30889565,MJ/kg,32.67465946,%,49.76592676,%,23.68940848,%,14.986,mm,0,l/t,0,l,9.526170958,%,9.362821723,%,23.61986853,%,3.166766629,%,"Sep 10, 2023","Sep 10, 2023"
Mcdonald,kelloe mains,gilzie bank,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 17, 2023",Grass Forage,4.24872479,ha,63.83019165,%,7.682688599,t/ha,32.64162951,t,21.24061185,t/ha,90.24551414,t,9.090574684,km/hr,1581.05,sec,9.674209699,ha/hr,40.54133434,l,9.542000564,l/ha,92.3113144,l/hr,---,---,205.4861332,t/hr,0.805140621,t/l,12.10627013,%,9.881298445,MJ/kg,36.16980835,%,50.84403847,%,28.15028937,%,21.9964,mm,0,l/t,---,---,11.12290259,%,8.590787414,%,27.88721231,%,2.887849246,%,"May 17, 2023","May 17, 2023"
Mcdonald,kelloe mains,gilzie bank,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 14, 2023",Grass Forage,4.222068824,ha,60.18746642,%,0.993774482,t/ha,4.195784258,t,2.49613474,t/ha,10.53885267,t,12.24289285,km/hr,1091.73,sec,13.92044122,ha/hr,17.24251351,l,4.084461721,l/ha,56.85750931,l/hr,---,---,34.75039982,t/hr,0.2432326,t/l,15.57365534,%,---,---,39.81253358,%,42.09052214,%,20.6945251,%,24.9936,mm,0,l/t,---,---,16.0555042,%,8.091526604,%,16.90175877,%,---,---,"Jun 14, 2023","Jun 14, 2023"
Mcdonald,kelloe mains,gilzie bank,8400i - SK16 GTY (R Wood),1Z08400YJGR515326,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 20, 2023",Grass Forage,3.312424144,ha,69.85890783,%,3.655760087,t/ha,12.10942798,t,12.12882422,t/ha,40.17581019,t,12.64558738,km/hr,1165.783,sec,10.2289422,ha/hr,28.51166373,l,8.607491822,l/ha,88.0455363,l/hr,---,---,124.0650419,t/hr,0.424377186,t/l,---,---,---,---,30.14109217,%,---,---,---,---,17.9832,mm,0,l/t,---,---,---,---,---,---,---,---,---,---,"Jul 20, 2023","Jul 20, 2023"
Mcdonald,kelloe mains,gilzie bank,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Sep 10, 2023",Grass Forage,4.33870549,ha,63.19331179,%,3.307921436,t/ha,14.3520969,t,8.987283554,t/ha,38.9931765,t,10.94558765,km/hr,1371.366,sec,11.38962156,ha/hr,36.08976566,l,8.318095281,l/ha,94.73995737,l/hr,99.3589864,t/hr,99.3589864,t/hr,0.383705029,t/l,15.21811901,%,10.02203914,MJ/kg,36.80668821,%,51.02025705,%,23.79997475,%,14.986,mm,0,l/t,0,l,8.566463372,%,9.476730923,%,24.3917392,%,3.026339552,%,"Sep 10, 2023","Sep 10, 2023"
Mcdonald,kelloe mains,island pasture,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 19, 2023",Grass Forage,4.511803634,ha,66.02165429,%,7.247953467,t/ha,32.70134279,t,21.33109577,t/ha,96.24171543,t,8.45872355,km/hr,2138.124,sec,7.596609496,ha/hr,49.62053588,l,10.99793783,l/ha,83.54703898,l/hr,---,---,162.0440047,t/hr,0.659028408,t/l,12.37025074,%,9.93859674,MJ/kg,33.97834571,%,49.98736339,%,28.36188636,%,21.9964,mm,0,l/t,---,---,11.76415873,%,9.129873543,%,27.43743354,%,2.896205447,%,"May 19, 2023","May 19, 2023"
Mcdonald,kelloe mains,island pasture,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 14, 2023",Grass Forage,4.50357461,ha,74.06907909,%,1.072061439,t/ha,4.828108675,t,4.134297592,t/ha,18.61911766,t,12.50065392,km/hr,1156.553,sec,14.01826686,ha/hr,21.48369287,l,4.770364596,l/ha,66.87224394,l/hr,---,---,57.95568693,t/hr,0.224732877,t/l,15.07938891,%,---,---,25.93092091,%,42.6757538,%,23.10727039,%,24.9936,mm,0,l/t,---,---,15.10924263,%,8.763942665,%,17.04914079,%,---,---,"Jun 14, 2023","Jun 14, 2023"
Mcdonald,kelloe mains,island pasture,8400i - SK16 GTY (R Wood),1Z08400YJGR515326,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 21, 2023",Grass Forage,4.504339438,ha,68.74080278,%,3.693361276,t/ha,16.63615285,t,11.81527872,t/ha,53.22002588,t,10.0577118,km/hr,1489.151,sec,10.8891724,ha/hr,38.05325318,l,8.448131787,l/ha,91.99316353,l/hr,---,---,128.6586069,t/hr,0.437109984,t/l,---,---,---,---,31.25919722,%,---,---,---,---,15.9766,mm,0,l/t,---,---,---,---,---,---,---,---,---,---,"Jul 21, 2023","Jul 21, 2023"
Mcdonald,kelloe mains,island pasture,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Oct 11, 2023",Grass Forage,4.455499615,ha,51.28042614,%,4.832470767,t/ha,21.53107164,t,9.918951223,t/ha,44.19388336,t,11.35244716,km/hr,1306.54,sec,12.27654616,ha/hr,34.56078199,l,7.756881376,l/ha,95.22771224,l/hr,116.1732087,t/hr,116.1732087,t/hr,0.593524282,t/l,13.53928887,%,9.069875104,MJ/kg,48.71957386,%,54.60225803,%,32.0164023,%,15.9766,mm,1.093588928,l/t,48.32994151,l,7.583601999,%,9.649366578,%,27.91160701,%,2.723443846,%,"Oct 11, 2023","Oct 11, 2023"
Mcdonald,kelloe mains,Lodge,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 16, 2023",Grass Forage,17.10273193,ha,71.57549787,%,5.564438481,t/ha,95.1670997,t,19.57620385,t/ha,334.8065667,t,9.526220043,km/hr,5645.013,sec,10.90694299,ha/hr,152.4445204,l,8.913460198,l/ha,97.2186022,l/hr,---,---,213.5165393,t/hr,0.624273667,t/l,11.69439889,%,10.49632682,MJ/kg,28.42450213,%,46.43974402,%,25.96713451,%,21.9964,mm,0,l/t,---,---,12.5698904,%,9.021450776,%,25.79587296,%,2.770682826,%,"May 16, 2023","May 16, 2023"
Mcdonald,kelloe mains,Lodge,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 13, 2023",Grass Forage,17.19465399,ha,67.60528537,%,1.199906442,t/ha,20.63197608,t,3.704019174,t/ha,63.68932806,t,12.41523959,km/hr,4108.875,sec,15.06513446,ha/hr,76.64222836,l,4.457328913,l/ha,67.1502594,l/hr,---,---,55.8015469,t/hr,0.269197344,t/l,13.92755453,%,---,---,32.39471463,%,42.3649895,%,22.80594349,%,27.9908,mm,0,l/t,---,---,16.3194001,%,7.842841192,%,16.67226516,%,---,---,"Jun 13, 2023","Jun 13, 2023"
Mcdonald,kelloe mains,Lodge,8400i - SK16 GTY (R Wood),1Z08400YJGR515326,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 19, 2023",Grass Forage,17.46726124,ha,75.8896982,%,3.205496919,t/ha,55.9912521,t,13.29513395,t/ha,232.2295779,t,12.0249482,km/hr,4622.091,sec,13.60439935,ha/hr,118.1606017,l,6.760469831,l/ha,92.03154288,l/hr,---,---,180.8685558,t/hr,0.473643963,t/l,---,---,---,---,24.1103018,%,---,---,---,---,19.9898,mm,0,l/t,---,---,---,---,---,---,---,---,---,---,"Jul 19, 2023","Jul 19, 2023"
