Clients,Farms,Fields,Machine Name,Equipment,Operators,Varieties,Work,Crop Type,Area Harvested,Unit,Moisture,Unit,Dry Yield,Unit,Total Dry Yield,Unit,Wet Weight,Unit,Total Wet Weight,Unit,Speed,Unit,Harvest Time,Unit,Productivity,Unit,Total Fuel,Unit,Fuel Rate (Area),Unit,Fuel Rate (Time),Unit,Throughput (Wet),Unit,Fuel Efficiency,Unit,Crude Protein,Unit,Metabolizable Energy,Unit,Dry Matter,Unit,Neutral Detergent Fiber,Unit,Acid Detergent Fiber,Unit,Length Of Cut,Unit,Inoculant Dosing High Rate,Unit,Sugar,Unit,Crude Ash,Unit,Crude Fiber,Unit,Crude Fat,Unit,First Harvested,Last Harvested
Mcdonald,kelloe mains,Craig mae,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,RYE,"Forage Harvesting Boot stage WCS - Jun 20, 2022",Boot stage WCS,1.853967705,ha,70.1716743,%,10.98515588,t/ha,20.36612423,t,36.82793325,t/ha,68.27779889,t,6.364040603,km/hr,2061.763,sec,3.237173108,ha/hr,54.46599999,l,29.37807377,l/ha,95.10191034,l/hr,119.2183951,t/hr,0.373923626,t/l,---,---,---,---,29.8283257,%,---,---,---,---,14.986,mm,0,l/t,---,---,---,---,---,---,---,---,"Jun 20, 2022","Jun 20, 2022"
Mcdonald,kelloe mains,Dexters,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,RYE,"Forage Harvesting Boot stage WCS - Jun 19, 2022",Boot stage WCS,12.63221954,ha,67.76655838,%,12.20333485,t/ha,154.155205,t,37.85923635,t/ha,478.2461853,t,6.337896728,km/hr,12907.193,sec,3.523212806,ha/hr,375.7516761,l,29.74628587,l/ha,104.8024953,l/hr,133.3877239,t/hr,0.410239588,t/l,---,---,---,---,32.23344162,%,---,---,---,---,14.98587831,mm,0,l/t,---,---,---,---,---,---,---,---,"Jun 19, 2022","Jun 20, 2022"
Mcdonald,kelloe mains,easter,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 12, 2022",Grass Forage,12.68838716,ha,65.38850689,%,5.322651049,t/ha,67.53585725,t,15.37827632,t/ha,195.1255239,t,10.56551487,km/hr,4001.3,sec,11.4158383,ha/hr,98.00196798,l,7.71812518,l/ha,88.17311492,l/hr,175.5559158,t/hr,0.689125658,t/l,13.23076125,%,10.33885802,MJ/kg,34.61149311,%,46.54275571,%,27.05718953,%,16.9926,mm,---,---,12.94398487,%,9.028903476,%,25.34550979,%,2.729535714,%,"May 12, 2022","May 12, 2022"
Mcdonald,kelloe mains,easter,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 14, 2022",Grass Forage,12.71107432,ha,68.62718893,%,2.8933153,t/ha,36.7771458,t,9.222365485,t/ha,117.2261731,t,12.49901368,km/hr,3027.909,sec,15.11269577,ha/hr,72.51443918,l,5.704823792,l/ha,86.2152664,l/hr,139.3748039,t/hr,0.507169968,t/l,13.54846501,%,10.64158116,MJ/kg,31.37281107,%,45.73133827,%,25.14859144,%,15.9766,mm,---,---,13.21055768,%,8.858686231,%,23.97401672,%,2.741442662,%,"Jun 14, 2022","Jun 14, 2022"
Mcdonald,kelloe mains,easter,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 12, 2022",Grass Forage,12.91609993,ha,66.72322452,%,3.40097899,t/ha,43.9273845,t,10.22027808,t/ha,132.006133,t,12.25568317,km/hr,3110.154,sec,14.95037215,ha/hr,77.25933483,l,5.981630309,l/ha,89.42759921,l/hr,152.7969608,t/hr,0.568568626,t/l,14.25172823,%,---,---,33.27677548,%,46.37627438,%,25.71081392,%,12.9794,mm,0,l/t,14.24377583,%,7.601432465,%,19.24436452,%,---,---,"Jul 12, 2022","Jul 12, 2022"
Mcdonald,kelloe mains,easter,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,4TH CUT,"Forage Harvesting Grass Forage - Aug 25, 2022",Grass Forage,12.87102529,ha,64.6414603,%,1.37679564,t/ha,17.72077151,t,3.893813637,t/ha,50.11737379,t,14.8863293,km/hr,2581.158,sec,17.95151286,ha/hr,50.89100258,l,3.953919865,l/ha,70.97884332,l/hr,69.89984559,t/hr,0.348210305,t/l,14.96871915,%,9.884916569,MJ/kg,35.3585397,%,50.04064779,%,27.23256769,%,13.59007491,mm,0,l/t,9.458716745,%,9.812287534,%,24.81362309,%,2.811653873,%,"Aug 25, 2022","Aug 25, 2022"
Mcdonald,kelloe mains,easter,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,5TH CUT,"Forage Harvesting Grass Forage - Oct 3, 2022",Grass Forage,12.79513722,ha,70.52947476,%,1.154178202,t/ha,14.76786847,t,3.916381511,t/ha,50.11063885,t,12.74539217,km/hr,3078.706,sec,14.96164103,ha/hr,64.78146129,l,5.062975111,l/ha,75.75041613,l/hr,58.59549429,t/hr,0.227961903,t/l,15.31281886,%,---,---,29.47052524,%,43.91643714,%,22.33936752,%,15.9766,mm,0,l/t,16.3774464,%,7.798564892,%,17.68050814,%,---,---,"Oct 03, 2022","Oct 03, 2022"
Mcdonald,kelloe mains,gas house,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,1ST Cut,"Forage Harvesting Grass Forage - May 13, 2022",Grass Forage,12.87189725,ha,61.45188182,%,6.043832699,t/ha,77.7955935,t,15.67867119,t/ha,201.8142446,t,10.95384422,km/hr,4347.484,sec,10.65876956,ha/hr,114.8797876,l,8.92485275,l/ha,95.12794879,l/hr,167.1153431,t/hr,0.677191307,t/l,13.0563019,%,10.27934315,MJ/kg,38.54811818,%,47.10993927,%,28.241414,%,14.02518307,mm,---,---,13.42007615,%,8.856151769,%,25.54484691,%,2.764216552,%,"May 13, 2022","May 13, 2022"
Mcdonald,kelloe mains,gas house,8500i - SL22 SYY (R Wood),1Z08500YANU622386,Unknown Operator,2ND CUT,"Forage Harvesting Grass Forage - Jun 14, 2022",Grass Forage,12.85515516,ha,62.90706865,%,2.513941635,t/ha,32.31710978,t,6.777414302,t/ha,87.12471245,t,12.40756288,km/hr,3179.927,sec,14.55333993,ha/hr,67.80112189,l,5.27423598,l/ha,76.75774909,l/hr,98.63401419,t/hr,0.47664565,t/l,12.19768344,%,10.77312448,MJ/kg,37.09293135,%,43.53429555,%,24.91515573,%,15.9766,mm,---,---,16.63210009,%,8.794728063,%,22.88202203,%,2.853929281,%,"Jun 14, 2022","Jun 14, 2022"
Mcdonald,kelloe mains,gas house,8400i - SK19 LFR (R Wood),1Z08400YEKU619149,Unknown Operator,3RD CUT,"Forage Harvesting Grass Forage - Jul 13, 2022",Grass Forage,12.99428029,ha,72.90635899,%,3.237971121,t/ha,42.07510433,t,11.95103722,t/ha,155.2951274,t,11.31652833,km/hr,3562.67,sec,13.13043561,ha/hr,87.32034777,l,6.719906436,l/ha,88.2352988,l/hr,156.9223248,t/hr,0.481847649,t/l,14.39974377,%,---,---,27.09364101,%,45.2960333,%,24.6161213,%,12.9794,mm,0,l/t,15.40602792,%,8.123741809,%,19.17102939,%,---,---,"Jul 13, 2022","Jul 13, 2022"
